id,especie,ultima_modificacion,altura,circ_tronco_cm,diametro_tronco,long,lat,seccion,nombre_seccion,area_seccion,inclinacion_peligrosa,circ_tronco_cm_cat
38404,Prunas,04/11/2010 11:48,Bajo (2 - 4 mts),40,Mediano,-68.8522661491,-32.8696941859,6,Residencial Norte,2694682.37982,0,bajo
28349,Morera,11/03/2011 09:29,Medio (4 - 8 mts),39,Mediano,-68.8468800807,-32.8882367515,2,Barrio Civico,2366816.36021,0,bajo
6834,Morera,24/05/2011 09:24,Alto (> 8 mts),140,Grande,-68.8625834192,-32.8939306879,5,Residencial Sur,2423808.92355,0,medio
43552,Fresno europeo,19/10/2011 16:25,Medio (4 - 8 mts),180,Grande,-68.829689294,-32.8817288807,3,Parque O'Higgins,1531146.02653,0,medio
35957,Morera,23/03/2011 10:18,Alto (> 8 mts),140,Grande,-68.8547592792,-32.8752737551,6,Residencial Norte,2694682.37982,0,medio
14481,Prunas,30/11/2011 18:30,Muy bajo (1 - 2 mts),3,Chico,-68.8788782184,-32.8669662466,8,Aeroparque,2203364.73622,0,bajo
22607,Morera,23/06/2011 10:40,Alto (> 8 mts),74,Grande,-68.8624252561,-32.9005027191,5,Residencial Sur,2423808.92355,0,bajo
28774,Morera,20/04/2011 10:08,Alto (> 8 mts),115,Grande,-68.8487016251,-32.8865864863,1,Parque Central,1655357.93265,0,medio
46129,Morera,27/09/2011 11:39,Alto (> 8 mts),160,Grande,-68.8242766951,-32.8743660717,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
19126,Ailanthus,26/07/2011 11:45,Alto (> 8 mts),70,Grande,-68.8419734182,-32.8716317014,4,Cuarta Oeste,1173332.70145,0,bajo
33665,Morera,13/05/2011 11:33,Muy bajo (1 - 2 mts),2,Chico,-68.8565088061,-32.8873729966,5,Residencial Sur,2423808.92355,0,bajo
20901,Acacia SP,27/05/2011 09:28,Medio (4 - 8 mts),49,Mediano,-68.8617306939,-32.895356455,5,Residencial Sur,2423808.92355,0,bajo
6837,Morera,08/06/2011 09:20,Medio (4 - 8 mts),80,Grande,-68.8552854544,-32.8952606504,5,Residencial Sur,2423808.92355,0,medio
42194,Fresno europeo,04/05/2011 11:03,Bajo (2 - 4 mts),34,Mediano,-68.8405848723,-32.8734341391,4,Cuarta Oeste,1173332.70145,0,bajo
17392,Morera,22/07/2011 10:13,Alto (> 8 mts),160,Grande,-68.8398962611,-32.8660393342,4,Cuarta Oeste,1173332.70145,0,medio
28758,Morera,02/03/2011 08:40,Medio (4 - 8 mts),50,Mediano,-68.8491426146,-32.8872802877,5,Residencial Sur,2423808.92355,0,bajo
23661,Fresno americano,20/01/2011 19:26,Medio (4 - 8 mts),48,Mediano,-68.8484833781,-32.9006833218,2,Barrio Civico,2366816.36021,0,bajo
36405,Paraiso,21/03/2011 11:46,Alto (> 8 mts),126,Grande,-68.8522881449,-32.879046401,6,Residencial Norte,2694682.37982,0,medio
45038,Morera,29/08/2011 09:07,Alto (> 8 mts),200,Grande,-68.824638791500007,-32.870118643,4,Cuarta Este Área Fundacional,1822015.85685,0,alto
27109,Fresno europeo,27/10/2011 09:00,Muy bajo (1 - 2 mts),6,Chico,-68.8375246475,-32.8886350185,3,Parque O'Higgins,1531146.02653,0,bajo
42485,Morera,30/09/2011 12:38,Alto (> 8 mts),185,Grande,-68.8308062749,-32.8759961709,4,Cuarta Este Área Fundacional,1822015.85685,1,medio
37089,Paraiso sombrilla,06/04/2011 09:21,Bajo (2 - 4 mts),26,Mediano,-68.8578682719,-32.8766233433,7,Residencial Parque,1786336.08966,0,bajo
47550,Morera,19/09/2011 09:05,Alto (> 8 mts),120,Grande,-68.8272125508,-32.8712180721,4,Cuarta Este Área Fundacional,1822015.85685,1,medio
44146,Fresno europeo,06/10/2011 16:42,Alto (> 8 mts),166,Grande,-68.8351521463,-32.8786314014,1,Parque Central,1655357.93265,0,medio
32506,Morera,27/05/2011 10:04,Alto (> 8 mts),183,Grande,-68.8531314299,-32.8882130994,5,Residencial Sur,2423808.92355,1,medio
39748,Morera,02/05/2011 12:04,Alto (> 8 mts),140,Grande,-68.8459340157,-32.8794272761,1,Parque Central,1655357.93265,0,medio
26814,Morera,01/11/2011 08:39,Medio (4 - 8 mts),120,Grande,-68.8333273256,-32.8951221882,3,Parque O'Higgins,1531146.02653,1,medio
32805,Prunas,14/07/2011 09:29,Medio (4 - 8 mts),25,Mediano,-68.8527977102,-32.885152454,5,Residencial Sur,2423808.92355,0,bajo
27026,Morera,28/10/2011 10:28,Medio (4 - 8 mts),40,Mediano,-68.838330251,-32.8916350647,3,Parque O'Higgins,1531146.02653,0,bajo
36568,Fresno europeo,09/06/2011 10:17,Bajo (2 - 4 mts),60,Mediano,-68.8585910462,-32.883087139,7,Residencial Parque,1786336.08966,0,bajo
7575,Morera,16/06/2011 14:36,Medio (4 - 8 mts),90,Grande,-68.8569317993,-32.8825892642,7,Residencial Parque,1786336.08966,0,medio
28283,Morera,10/03/2011 17:18,Medio (4 - 8 mts),122,Grande,-68.8504813991,-32.8923240173,5,Residencial Sur,2423808.92355,0,medio
31385,Fresno europeo,23/05/2011 13:02,Bajo (2 - 4 mts),60,Mediano,-68.8514890576,-32.8841520454,1,Parque Central,1655357.93265,0,bajo
24708,Pltano,17/02/2011 12:06,Alto (> 8 mts),200,Grande,-68.8412653583,-32.8982428566,2,Barrio Civico,2366816.36021,0,alto
41785,Fresno americano,27/04/2011 10:03,Medio (4 - 8 mts),60,Mediano,-68.8426247934,-32.8785280409,1,Parque Central,1655357.93265,0,bajo
18775,Morera,08/07/2011 14:14,Alto (> 8 mts),190,Grande,-68.8385775046,-32.8726242783,4,Cuarta Oeste,1173332.70145,0,alto
48153,Morera,17/08/2011 10:27,Alto (> 8 mts),175,Grande,-68.8302953629,-32.8684418091,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
27175,Acacia SP,27/10/2011 09:31,Medio (4 - 8 mts),105,Grande,-68.8388684038,-32.8906692364,3,Parque O'Higgins,1531146.02653,0,medio
8109,Fresno europeo,10/03/2011 13:10,Muy bajo (1 - 2 mts),8,Chico,-68.84172683,-32.8913116602,2,Barrio Civico,2366816.36021,0,bajo
35891,Morera,28/03/2011 09:58,Medio (4 - 8 mts),60,Mediano,-68.8534230478,-32.8762872917,6,Residencial Norte,2694682.37982,0,bajo
11826,Morera,02/03/2011 13:19,Alto (> 8 mts),140,Grande,-68.8496642633,-32.8654777437,6,Residencial Norte,2694682.37982,0,medio
36295,Prunas,04/04/2011 10:20,Bajo (2 - 4 mts),16,Chico,-68.8542068122,-32.8767608755,6,Residencial Norte,2694682.37982,0,bajo
43583,Fresno americano,07/10/2011 12:13,Alto (> 8 mts),165,Grande,-68.8308806189,-32.8826508547,3,Parque O'Higgins,1531146.02653,1,medio
39503,Morera,10/11/2010 10:25,Alto (> 8 mts),111,Grande,-68.8543958848,-32.8690915962,6,Residencial Norte,2694682.37982,0,medio
17908,Morera,01/08/2011 09:31,Alto (> 8 mts),150,Grande,-68.8366420806,-32.8670380237,4,Cuarta Oeste,1173332.70145,0,medio
25308,Morera,09/02/2011 13:40,Alto (> 8 mts),234,Grande,-68.8390619661,-32.9002921948,2,Barrio Civico,2366816.36021,0,alto
9856,Conifera,06/01/2011 12:37,Bajo (2 - 4 mts),43,Mediano,-68.8431908851,-32.862827356,4,Cuarta Oeste,1173332.70145,0,bajo
4751,Fresno americano,02/08/2011 09:43,Alto (> 8 mts),128,Grande,-68.8344963323,-32.8662393614,4,Cuarta Oeste,1173332.70145,0,medio
4306,Ailanthus,22/07/2011 08:58,Medio (4 - 8 mts),51,Mediano,-68.8441289334,-32.8705664798,4,Cuarta Oeste,1173332.70145,1,bajo
4071,Paraiso,04/10/2011 08:55,Medio (4 - 8 mts),86,Grande,-68.8281382926,-32.877966926,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
25343,Morera,09/02/2011 09:40,Alto (> 8 mts),190,Grande,-68.8397995664,-32.9004224876,2,Barrio Civico,2366816.36021,0,alto
17224,Caducifolio,12/08/2011 09:50,Bajo (2 - 4 mts),90,Grande,-68.8352777783,-32.8639144769,4,Cuarta Oeste,1173332.70145,0,medio
44077,Morera,14/10/2011 11:22,Alto (> 8 mts),210,Grande,-68.8311942265,-32.8855458003,3,Parque O'Higgins,1531146.02653,1,alto
30212,Morera,09/03/2011 09:03,Alto (> 8 mts),84,Grande,-68.8418917679,-32.8896372322,3,Parque O'Higgins,1531146.02653,1,medio
21354,Morera,09/05/2011 09:05,Medio (4 - 8 mts),20,Chico,-68.8532235676,-32.8931935613,5,Residencial Sur,2423808.92355,0,bajo
25014,Fresno europeo,15/02/2011 11:51,Alto (> 8 mts),137,Grande,-68.8348834155,-32.8962164442,2,Barrio Civico,2366816.36021,0,medio
10589,Ailanthus,29/03/2011 13:21,Medio (4 - 8 mts),36,Mediano,-68.8524730465,-32.8766698004,6,Residencial Norte,2694682.37982,0,bajo
12870,Perenne,19/01/2011 09:10,Bajo (2 - 4 mts),60,Mediano,-68.8457673176,-32.8643029506,4,Cuarta Oeste,1173332.70145,0,bajo
32729,Morera,17/05/2011 13:08,Bajo (2 - 4 mts),120,Grande,-68.8533829812,-32.886604325,5,Residencial Sur,2423808.92355,0,medio
21737,Morera,24/05/2011 09:33,Alto (> 8 mts),145,Grande,-68.856154767,-32.8943816607,5,Residencial Sur,2423808.92355,0,medio
37284,Morera,15/03/2011 10:09,Alto (> 8 mts),120,Grande,-68.8581551792,-32.8734945215,6,Residencial Norte,2694682.37982,0,medio
2851,Morera,04/11/2011 09:51,Alto (> 8 mts),140,Grande,-68.8350795511,-32.893726018,3,Parque O'Higgins,1531146.02653,1,medio
33808,Fresno europeo,12/05/2011 12:55,Bajo (2 - 4 mts),50,Mediano,-68.8556409648,-32.8864354499,5,Residencial Sur,2423808.92355,0,bajo
27240,Pltano,26/10/2011 09:49,Alto (> 8 mts),115,Grande,-68.8361155892,-32.8897190717,3,Parque O'Higgins,1531146.02653,0,medio
11929,Morera,12/05/2010 11:48,Bajo (2 - 4 mts),109,Grande,-68.8510292001,-32.8675761628,6,Residencial Norte,2694682.37982,0,medio
28412,Morera,28/02/2011 12:40,Alto (> 8 mts),160,Grande,-68.8467209016,-32.8903791148,2,Barrio Civico,2366816.36021,0,medio
36293,Fresno europeo,04/04/2011 10:14,Medio (4 - 8 mts),126,Grande,-68.8542358844,-32.8768871465,6,Residencial Norte,2694682.37982,0,medio
3104,Fresno europeo,19/09/2011 08:45,Bajo (2 - 4 mts),12,Chico,-68.8220172843,-32.8717181496,4,Cuarta Este Área Fundacional,1822015.85685,0,bajo
15386,Aguaribay,15/11/2011 12:46,Medio (4 - 8 mts),95,Grande,-68.8604762604,-32.8703576853,7,Residencial Parque,1786336.08966,0,medio
37793,Fresno europeo,25/01/2012 07:47,Muy bajo (1 - 2 mts),6,Chico,-68.8489859339,-32.8731937419,6,Residencial Norte,2694682.37982,0,bajo
42301,Perenne,03/05/2011 11:46,Muy bajo (1 - 2 mts),15,Chico,-68.8425102195,-32.8728429,4,Cuarta Oeste,1173332.70145,0,bajo
37069,Fresno europeo,04/04/2011 12:53,Bajo (2 - 4 mts),60,Mediano,-68.8570410337,-32.8769268124,6,Residencial Norte,2694682.37982,0,bajo
31183,Fresno europeo,07/02/2011 10:05,Alto (> 8 mts),140,Grande,-68.8543627361,-32.8639545384,6,Residencial Norte,2694682.37982,0,medio
41781,Ligustro,27/04/2011 10:17,Bajo (2 - 4 mts),70,Grande,-68.8420558075,-32.8785640912,1,Parque Central,1655357.93265,0,bajo
35678,Morera,18/03/2011 09:38,Medio (4 - 8 mts),180,Grande,-68.8552007215,-32.8741115912,6,Residencial Norte,2694682.37982,0,medio
22503,Morera,27/06/2011 14:28,Alto (> 8 mts),105,Grande,-68.8589238495,-32.9004008038,5,Residencial Sur,2423808.92355,1,medio
6269,Caducifolio,13/07/2011 13:13,Medio (4 - 8 mts),20,Chico,-68.851015349,-32.8828882124,1,Parque Central,1655357.93265,0,bajo
43193,Morera,11/10/2011 16:00,Alto (> 8 mts),120,Grande,-68.8282454524,-32.8808780034,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
21259,Morera,14/06/2011 10:28,Bajo (2 - 4 mts),23,Mediano,-68.8535490613,-32.8963979874,5,Residencial Sur,2423808.92355,0,bajo
38125,Paraiso,03/12/2010 14:16,Alto (> 8 mts),260,Grande,-68.8458694358,-32.8727910917,6,Residencial Norte,2694682.37982,0,muy alto
39588,Morera,22/10/2010 12:00,Alto (> 8 mts),160,Grande,-68.8476820485,-32.8692789925,6,Residencial Norte,2694682.37982,0,medio
17320,Morera,08/08/2011 12:15,Alto (> 8 mts),185,Grande,-68.8342218149,-32.8651460878,4,Cuarta Oeste,1173332.70145,0,medio
803,Paraiso,13/12/2011 13:02,Medio (4 - 8 mts),78,Grande,-68.8800682729,-32.8655015383,8,Aeroparque,2203364.73622,0,bajo
6310,Acacia SP,24/06/2011 10:55,Alto (> 8 mts),125,Grande,-68.8576216249,-32.8898430849,5,Residencial Sur,2423808.92355,0,medio
33902,Morera,14/07/2011 08:47,Medio (4 - 8 mts),105,Grande,-68.8542725555,-32.8855820558,5,Residencial Sur,2423808.92355,0,medio
11363,Fresno europeo,21/01/2011 12:31,Medio (4 - 8 mts),56,Mediano,-68.8491420943,-32.8997917805,2,Barrio Civico,2366816.36021,0,bajo
5226,Pltano,05/05/2011 12:51,Bajo (2 - 4 mts),20,Chico,-68.841343845,-32.8746684805,1,Parque Central,1655357.93265,0,bajo
41101,Paraiso,27/04/2011 13:01,Alto (> 8 mts),98,Grande,-68.8387671308,-32.8821570157,1,Parque Central,1655357.93265,0,medio
41862,Conifera,05/05/2011 12:30,Alto (> 8 mts),71,Grande,-68.8415876524,-32.8786488417,1,Parque Central,1655357.93265,0,bajo
20520,Morera,03/06/2011 10:01,Alto (> 8 mts),140,Grande,-68.859023522,-32.8980719399,5,Residencial Sur,2423808.92355,0,medio
39639,Morera,22/10/2010 11:08,Medio (4 - 8 mts),80,Grande,-68.8465092495,-32.8698244025,6,Residencial Norte,2694682.37982,0,medio
2148,Morera,07/11/2011 10:39,Alto (> 8 mts),142,Grande,-68.8397727645,-32.8950127702,2,Barrio Civico,2366816.36021,1,medio
38703,Paraiso,14/12/2010 13:39,Alto (> 8 mts),100,Grande,-68.850470444,-32.8711640686,6,Residencial Norte,2694682.37982,0,medio
13261,Morera,22/02/2011 11:30,Medio (4 - 8 mts),50,Mediano,-68.8471175966,-32.8655290676,4,Cuarta Oeste,1173332.70145,0,bajo
12022,Ligustro,28/04/2010 11:50,Bajo (2 - 4 mts),100,Grande,-68.8528617023,-32.8666106361,6,Residencial Norte,2694682.37982,0,medio
9990,Paraiso,05/11/2010 10:51,Medio (4 - 8 mts),45,Mediano,-68.8524011548,-32.8699582938,6,Residencial Norte,2694682.37982,0,bajo
20728,Morera,31/05/2011 10:28,Medio (4 - 8 mts),97,Grande,-68.8633269059,-32.8976729406,5,Residencial Sur,2423808.92355,0,medio
14319,Conifera,06/12/2011 08:24,Alto (> 8 mts),140,Grande,-68.8772685495,-32.8673813665,8,Aeroparque,2203364.73622,0,medio
44874,Morera,23/08/2011 10:40,Medio (4 - 8 mts),180,Grande,-68.8248163838,-32.8678316543,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
19301,Morera,13/07/2011 20:27,Alto (> 8 mts),160,Grande,-68.8355295365,-32.8703178322,4,Cuarta Oeste,1173332.70145,0,medio
26613,Pltano,03/11/2011 11:11,Alto (> 8 mts),196,Grande,-68.8329758869,-32.8900640445,3,Parque O'Higgins,1531146.02653,0,alto
27494,Morera,27/10/2011 10:02,Alto (> 8 mts),145,Grande,-68.8372404424,-32.8923984654,3,Parque O'Higgins,1531146.02653,1,medio
32509,Morera,27/05/2011 10:00,Alto (> 8 mts),170,Grande,-68.8533455107,-32.8881738312,5,Residencial Sur,2423808.92355,0,medio
13134,Paraiso sombrilla,17/02/2011 12:02,Medio (4 - 8 mts),80,Grande,-68.8458630209,-32.8649597723,4,Cuarta Oeste,1173332.70145,0,medio
30582,Paraiso sombrilla,09/02/2011 12:10,Medio (4 - 8 mts),100,Grande,-68.8577929944,-32.865886229,6,Residencial Norte,2694682.37982,0,medio
1985,Prunas,03/01/2012 10:14,Bajo (2 - 4 mts),30,Mediano,-68.8600618974,-32.8892219136,5,Residencial Sur,2423808.92355,0,bajo
25500,Morera,07/02/2011 12:16,Alto (> 8 mts),196,Grande,-68.8413085343,-32.9013507008,2,Barrio Civico,2366816.36021,0,alto
25856,Morera,03/02/2011 17:59,Medio (4 - 8 mts),78,Grande,-68.8404764279,-32.9025196331,2,Barrio Civico,2366816.36021,0,bajo
21846,Morera,07/06/2011 10:02,Alto (> 8 mts),73,Grande,-68.8572137848,-32.896207805,5,Residencial Sur,2423808.92355,0,bajo
29886,Fresno europeo,11/03/2011 12:22,Bajo (2 - 4 mts),12,Chico,-68.8412990235,-32.8915125405,2,Barrio Civico,2366816.36021,0,bajo
44987,Morera,26/08/2011 15:14,Medio (4 - 8 mts),200,Grande,-68.8247146805,-32.8687612172,4,Cuarta Este Área Fundacional,1822015.85685,0,alto
1659,Morera,23/11/2011 08:34,Bajo (2 - 4 mts),32,Mediano,-68.8719009826,-32.8783121372,7,Residencial Parque,1786336.08966,0,bajo
21786,Morera,13/05/2011 11:16,Alto (> 8 mts),158,Grande,-68.8560448791,-32.8933145026,5,Residencial Sur,2423808.92355,0,medio
14809,Acer,07/12/2011 10:39,Bajo (2 - 4 mts),40,Mediano,-68.8774185036,-32.8688418649,8,Aeroparque,2203364.73622,0,bajo
41728,Fresno europeo,26/04/2011 09:15,Alto (> 8 mts),108,Grande,-68.837509999900007,-32.8779838249,1,Parque Central,1655357.93265,0,medio
7220,Fresno americano,24/06/2011 10:12,Bajo (2 - 4 mts),30,Mediano,-68.8613161429,-32.8992860837,5,Residencial Sur,2423808.92355,0,bajo
36321,Fresno europeo,01/04/2011 12:48,Medio (4 - 8 mts),76,Grande,-68.852941231,-32.8775177182,6,Residencial Norte,2694682.37982,0,bajo
45903,Olmo comun,25/08/2011 13:03,Bajo (2 - 4 mts),86,Grande,-68.8190615128,-32.868950671,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
30406,Fresno americano,15/07/2011 10:07,Alto (> 8 mts),160,Grande,-68.8424451915,-32.888867418,3,Parque O'Higgins,1531146.02653,0,medio
10789,Jacarand,31/03/2011 09:56,Bajo (2 - 4 mts),50,Mediano,-68.8498039348,-32.8773666383,6,Residencial Norte,2694682.37982,0,bajo
17059,Acer,16/08/2011 09:40,Bajo (2 - 4 mts),14,Chico,-68.8368541447,-32.8644834382,4,Cuarta Oeste,1173332.70145,0,bajo
41866,Conifera,04/05/2011 11:02,Alto (> 8 mts),47,Mediano,-68.8415003056,-32.8783444826,1,Parque Central,1655357.93265,0,bajo
45112,Morera,31/08/2011 15:58,Alto (> 8 mts),150,Grande,-68.8256323164,-32.8702056025,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
37689,Fresno europeo,24/02/2012 08:34,Medio (4 - 8 mts),110,Grande,-68.8521004644,-32.8726322515,6,Residencial Norte,2694682.37982,0,medio
42816,Morera,07/10/2011 18:29,Alto (> 8 mts),195,Grande,-68.8308865012,-32.8771898507,4,Cuarta Este Área Fundacional,1822015.85685,0,alto
8568,Morera,02/02/2011 13:06,Medio (4 - 8 mts),55,Mediano,-68.8408965667,-32.9037958238,2,Barrio Civico,2366816.36021,0,bajo
1179,Conifera,29/11/2011 10:04,Medio (4 - 8 mts),22,Mediano,-68.8761668288,-32.8650442971,8,Aeroparque,2203364.73622,0,bajo
18749,Morera,12/07/2011 10:02,Alto (> 8 mts),190,Grande,-68.8370188893,-32.8732479426,4,Cuarta Oeste,1173332.70145,0,alto
12628,Morera,17/01/2011 09:47,Alto (> 8 mts),180,Grande,-68.8458768113,-32.8629069933,4,Cuarta Oeste,1173332.70145,0,medio
11037,Morera,28/03/2011 16:48,Medio (4 - 8 mts),38,Mediano,-68.8575068805,-32.879181749,7,Residencial Parque,1786336.08966,0,bajo
28491,Morera,25/02/2011 10:16,Alto (> 8 mts),160,Grande,-68.8475011201,-32.8892519867,2,Barrio Civico,2366816.36021,0,medio
44288,Pltano,20/10/2011 17:09,Alto (> 8 mts),170,Grande,-68.8351741935,-32.8802872992,1,Parque Central,1655357.93265,0,medio
31612,Morera,10/06/2011 09:37,Alto (> 8 mts),135,Grande,-68.8608253499,-32.8878861081,5,Residencial Sur,2423808.92355,0,medio
20053,Morera,09/08/2011 10:13,Alto (> 8 mts),160,Grande,-68.8340034676,-32.8648614785,4,Cuarta Oeste,1173332.70145,0,medio
22774,Morera,29/06/2011 16:31,Alto (> 8 mts),98,Grande,-68.8543868215,-32.9018126085,5,Residencial Sur,2423808.92355,0,medio
44329,Morera,12/10/2011 16:19,Alto (> 8 mts),130,Grande,-68.8360687907,-32.882285093,3,Parque O'Higgins,1531146.02653,1,medio
8097,Morera,25/02/2011 11:08,Medio (4 - 8 mts),31,Mediano,-68.8472142812,-32.8894250833,2,Barrio Civico,2366816.36021,0,bajo
39315,Morera,30/12/2010 12:20,Medio (4 - 8 mts),110,Grande,-68.8560375677,-32.8717284397,6,Residencial Norte,2694682.37982,0,medio
35338,Morera,22/06/2011 15:37,Medio (4 - 8 mts),130,Grande,-68.8543840219,-32.883532617,5,Residencial Sur,2423808.92355,1,medio
34711,Morera,01/04/2011 11:35,Medio (4 - 8 mts),50,Mediano,-68.8505695213,-32.8771587456,6,Residencial Norte,2694682.37982,1,bajo
28698,Morera,01/03/2011 12:22,Alto (> 8 mts),185,Grande,-68.8467813328,-32.8905003402,2,Barrio Civico,2366816.36021,0,medio
24983,Morera,16/02/2011 09:03,Alto (> 8 mts),130,Grande,-68.8379014098,-32.8965486452,2,Barrio Civico,2366816.36021,1,medio
45231,Acacia SP,29/09/2011 14:18,Alto (> 8 mts),120,Grande,-68.8226574313,-32.8734080933,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
46659,Morera,02/09/2011 11:13,Alto (> 8 mts),128,Grande,-68.8318604936,-32.8700075506,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
22826,Fresno europeo,14/06/2011 12:05,Alto (> 8 mts),92,Grande,-68.8576907516,-32.9020617002,5,Residencial Sur,2423808.92355,0,medio
13180,Fresno europeo,21/02/2011 10:57,Bajo (2 - 4 mts),24,Mediano,-68.8469948127,-32.8659150802,6,Residencial Norte,2694682.37982,0,bajo
31378,Fresno europeo,23/05/2011 13:12,Medio (4 - 8 mts),140,Grande,-68.8512050013,-32.8840430204,1,Parque Central,1655357.93265,0,medio
37853,Fresno europeo,24/11/2010 10:26,Medio (4 - 8 mts),110,Grande,-68.8524250304,-32.8727916936,6,Residencial Norte,2694682.37982,0,medio
14852,Acacia SP,19/12/2011 07:54,Muy bajo (1 - 2 mts),2,Chico,-68.881077334,-32.8740486327,8,Aeroparque,2203364.73622,0,bajo
20262,Morera,17/05/2011 10:20,Alto (> 8 mts),132,Grande,-68.8594252156,-32.8925724376,5,Residencial Sur,2423808.92355,0,medio
36545,Olmo comun,04/04/2011 11:48,Alto (> 8 mts),88,Grande,-68.8557978512,-32.8793725814,6,Residencial Norte,2694682.37982,1,medio
6358,Fresno europeo,27/06/2011 11:03,Alto (> 8 mts),93,Grande,-68.8540981184,-32.8903374689,5,Residencial Sur,2423808.92355,1,medio
4903,Morera,21/07/2011 10:11,Medio (4 - 8 mts),78,Grande,-68.8421649609,-32.8639532626,4,Cuarta Oeste,1173332.70145,0,bajo
7471,Acer,16/06/2011 10:57,Alto (> 8 mts),90,Grande,-68.8618456103,-32.9003564002,5,Residencial Sur,2423808.92355,1,medio
35721,Fresno europeo,09/03/2011 09:12,Medio (4 - 8 mts),82,Grande,-68.8544515791,-32.8732556453,6,Residencial Norte,2694682.37982,0,medio
4272,Morera,26/07/2011 10:53,Medio (4 - 8 mts),84,Grande,-68.83704236,-32.8712201906,4,Cuarta Oeste,1173332.70145,1,medio
16768,Morera,11/08/2011 13:45,Medio (4 - 8 mts),41,Mediano,-68.8390123913,-32.8625129641,4,Cuarta Oeste,1173332.70145,0,bajo
45310,Fresno europeo,09/09/2011 12:48,Medio (4 - 8 mts),132,Grande,-68.8233316726,-32.8719147814,4,Cuarta Este Área Fundacional,1822015.85685,0,medio
6953,Fresno europeo,07/06/2011 09:14,Medio (4 - 8 mts),68,Grande,-68.8587434254,-32.8958458164,5,Residencial Sur,2423808.92355,0,bajo
45491,Morera,19/09/2011 08:43,Bajo (2 - 4 mts),35,Mediano,-68.8220287143,-32.8717982877,4,Cuarta Este Área Fundacional,1822015.85685,0,bajo
